"turtle.id","season","sex","cl","pl","wt","HR_Type","MCP_Lv","Area_m2","Pts"
"58","2021 Nesting Season","J",97.7,84.5,144,"MCP",100,29.4935607910156,17
"61","2020 Dry Season","F",131.3,113.8,255,"MCP",100,196.998687744141,33
"61","2020 Mating Season","F",131.3,113.8,255,"MCP",100,59.9863891601562,13
"61","2020 Wet Season","F",131.3,113.8,255,"MCP",100,319.746856689453,20
"61","2021 Mating Season","F",131.3,113.8,255,"MCP",100,0,9
"61","2021 Nesting Season","F",131.3,113.8,255,"MCP",100,396.864166259766,17
"61","2021 Wet Season","F",131.3,113.8,255,"MCP",100,134.145263671875,22
"62","2020 Mating Season","J",93.5,89.2,111,"MCP",100,76.0892639160156,9
"62","2020 Wet Season","J",93.5,89.2,111,"MCP",100,675.689575195312,20
"63","2020 Dry Season","F",131.4,117.1,287,"MCP",100,1199.39566040039,33
"63","2020 Mating Season","F",131.4,117.1,287,"MCP",100,1500.94583129883,13
"63","2020 Wet Season","F",131.4,117.1,287,"MCP",100,926.993255615234,17
"63","2021 Nesting Season","F",131.4,117.1,287,"MCP",100,85.7340087890625,17
"63","2021 Wet Season","F",131.4,117.1,287,"MCP",100,100.958648681641,10
"65","2020 Dry Season","F",110,94.4,165,"MCP",100,215.145233154297,33
"65","2020 Mating Season","F",110,94.4,165,"MCP",100,1208.85504150391,12
"65","2020 Wet Season","F",110,94.4,165,"MCP",100,58.9813537597656,7
"65","2021 Nesting Season","F",110,94.4,165,"MCP",100,2.86080932617188,17
"65","2021 Wet Season","F",110,94.4,165,"MCP",100,824.939514160156,17
"71","2020 Dry Season","M",117.3,99,197,"MCP",100,133.211944580078,25
"71","2021 Mating Season","M",117.3,99,197,"MCP",100,10423.2868347168,9
"71","2021 Nesting Season","M",117.3,99,197,"MCP",100,5.68756103515625,17
"71","2021 Wet Season","M",117.3,99,197,"MCP",100,10540.4004211426,20
"72","2020 Dry Season","J",98,84.4,114,"MCP",100,62.8150939941406,20
"72","2021 Nesting Season","J",98,84.4,114,"MCP",100,84.5775146484375,8
"73","2021 Mating Season","F",132.5,111.2,290,"MCP",100,200.979217529297,9
"73","2021 Nesting Season","F",132.5,111.2,290,"MCP",100,3.81454467773438,9
"73","2021 Wet Season","F",132.5,111.2,290,"MCP",100,275.854431152344,22
